"['河西', '天塔街']",富锦里,113,20712,"['1室1厅1卫', '中楼层 (共6层)', '54.56㎡', '平层', '板楼', '南', '混合结构', '简装', '一梯四户', '集中供暖']"
"['南开', '王顶堤']",燕园里,169,23101,"['2室1厅1卫', '高楼层 (共6层)', '73.16㎡', '平层', '板塔结合', '南 北', '混合结构', '简装', '一梯三户', '集中供暖']"
"['河东', '真理道']",东康家园,142,18290,"['2室1厅1卫', '中楼层 (共32层)', '77.64㎡', '平层', '板塔结合', '东北', '钢混结构', '简装', '三梯六户', '集中供暖', '有']"
"['宝坻', '京津新城']",鸿坤原乡小镇,27.5,5693,"['1室0厅1卫', '低楼层 (共33层)', '48.31㎡', '平层', '板塔结合', '南 北', '钢混结构', '毛坯', '两梯六户', '集中供暖', '有']"
"['南开', '兴南街']",华兴楼,74,39743,"['1室0厅1卫', '中楼层 (共5层)', '18.62㎡', '平层', '18.62㎡', '板楼', '南', '砖混结构', '毛坯', '一梯两户', '集中供暖']"
"['西青', '李七庄']",和瑞园,105,20240,"['1室1厅1卫', '高楼层 (共18层)', '51.88㎡', '平层', '板楼', '南', '钢混结构', '精装', '两梯五户', '集中供暖', '有']"
"['津南', '小站镇']",天山·水榭花都,69,7092,"['3室1厅1卫', '高楼层 (共28层)', '97.3㎡', '平层', '板楼', '南 北', '钢混结构', '其他', '两梯五户', '集中供暖', '有']"
"['河北', '月牙河']",锦江南里,115,14936,"['3室1厅1卫', '高楼层 (共6层)', '77㎡', '平层', '51.9㎡', '板塔结合', '南 北', '砖混结构', '精装', '一梯三户', '集中供暖']"
"['武清', '保利金街']",保利上河雅苑南区,310,22773,"['3室2厅2卫', '高楼层 (共17层)', '136.13㎡', '平层', '板塔结合', '北 南 西', '钢混结构', '其他', '两梯四户', '集中供暖', '有']"
"['滨海新区', '中新生态城']",双威悦馨苑,168,12709,"['3室1厅2卫', '中楼层 (共19层)', '132.19㎡', '平层', '板楼', '南 北', '钢混结构', '其他', '两梯四户', '集中供暖', '有']"
"['和平', '劝业场']",银凤里,345,64850,"['2室1厅1卫', '高楼层 (共6层)', '53.2㎡', '平层', '板楼', '西南', '混合结构', '其他', '一梯四户', '集中供暖']"
"['滨海新区', '滨海其它']",万科海港城,130,14788,"['2室1厅1卫', '中楼层 (共33层)', '87.91㎡', '平层', '板楼', '南', '钢混结构', '其他', '两梯四户', '集中供暖', '有']"
"['河西', '挂甲寺']",北洋新里,122,31838,"['1室1厅1卫', '低楼层 (共7层)', '38.32㎡', '平层', '板楼', '西', '混合结构', '其他', '一梯五户', '集中供暖']"
"['津南', '八里台']",中海国际公园城,160,10410,"['3室2厅2卫', '低楼层 (共9层)', '153.7㎡', '平层', '板塔结合', '南', '钢混结构', '精装', '一梯两户', '集中供暖', '有']"
